2020-04-19 18:04:139 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-19 18:04:15 INFO  HomePage :51 - clicking on bank manager login button : [[ChromeDriver: chrome on WINDOWS (e0f3b335b246ddf12aa89d6d8f17e1a3)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-19 18:04:367 INFO  BankManagerLoginPage :39 - clicking on add customer tab : [[ChromeDriver: chrome on WINDOWS (e0f3b335b246ddf12aa89d6d8f17e1a3)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-19 18:04:873 INFO  AddCustomerPage :38 - entering firstname on firstname field : Tiger[[ChromeDriver: chrome on WINDOWS (e0f3b335b246ddf12aa89d6d8f17e1a3)] -> xpath: //input[@placeholder='First Name']]
2020-04-19 18:04:110 INFO  AddCustomerPage :45 - entering lastname on lastname field : Foster[[ChromeDriver: chrome on WINDOWS (e0f3b335b246ddf12aa89d6d8f17e1a3)] -> xpath: //input[@placeholder='Last Name']]
2020-04-19 18:04:355 INFO  AddCustomerPage :51 - entering postcode on postcode field : HA2 6JT[[ChromeDriver: chrome on WINDOWS (e0f3b335b246ddf12aa89d6d8f17e1a3)] -> xpath: //input[@placeholder='Post Code']]
2020-04-19 18:04:747 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-19 18:04:85 INFO  HomePage :51 - clicking on bank manager login button : [[ChromeDriver: chrome on WINDOWS (cc1cbe5d9d4be90969eb0ab67d7d7549)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-19 18:04:60 INFO  BankManagerLoginPage :39 - clicking on add customer tab : [[ChromeDriver: chrome on WINDOWS (cc1cbe5d9d4be90969eb0ab67d7d7549)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-19 18:04:528 INFO  AddCustomerPage :38 - entering firstname on firstname field : Tiger[[ChromeDriver: chrome on WINDOWS (cc1cbe5d9d4be90969eb0ab67d7d7549)] -> xpath: //input[@placeholder='First Name']]
2020-04-19 18:04:765 INFO  AddCustomerPage :45 - entering lastname on lastname field : Foster[[ChromeDriver: chrome on WINDOWS (cc1cbe5d9d4be90969eb0ab67d7d7549)] -> xpath: //input[@placeholder='Last Name']]
2020-04-19 18:04:25 INFO  AddCustomerPage :51 - entering postcode on postcode field : HA2 6JT[[ChromeDriver: chrome on WINDOWS (cc1cbe5d9d4be90969eb0ab67d7d7549)] -> xpath: //input[@placeholder='Post Code']]
2020-04-19 18:04:992 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-19 18:04:407 INFO  HomePage :51 - clicking on bank manager login button : [[ChromeDriver: chrome on WINDOWS (d016636e354e8eb193f64ad1c67b04ec)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-19 18:04:941 INFO  BankManagerLoginPage :39 - clicking on add customer tab : [[ChromeDriver: chrome on WINDOWS (d016636e354e8eb193f64ad1c67b04ec)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-19 18:04:782 INFO  AddCustomerPage :38 - entering firstname on firstname field : Tiger[[ChromeDriver: chrome on WINDOWS (d016636e354e8eb193f64ad1c67b04ec)] -> xpath: //input[@placeholder='First Name']]
2020-04-19 18:04:62 INFO  AddCustomerPage :45 - entering lastname on lastname field : Foster[[ChromeDriver: chrome on WINDOWS (d016636e354e8eb193f64ad1c67b04ec)] -> xpath: //input[@placeholder='Last Name']]
2020-04-19 18:04:358 INFO  AddCustomerPage :51 - entering postcode on postcode field : HA2 6JT[[ChromeDriver: chrome on WINDOWS (d016636e354e8eb193f64ad1c67b04ec)] -> xpath: //input[@placeholder='Post Code']]
2020-04-19 18:04:879 INFO  BankManagerLoginPage :56 - clicking on home tab : [[ChromeDriver: chrome on WINDOWS (d016636e354e8eb193f64ad1c67b04ec)] -> xpath: //button[@class='btn home']]
2020-04-19 18:04:186 INFO  HomePage :51 - clicking on bank manager login button : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Bank Manager Login')]'
2020-04-19 18:04:346 INFO  BankManagerLoginPage :45 - clicking on open account tab : [[ChromeDriver: chrome on WINDOWS (d016636e354e8eb193f64ad1c67b04ec)] -> xpath: //button[contains(text(),'Open Account')]]
2020-04-19 18:04:123 INFO  OpenAccountPage :33 - selecting customer name : Tiger Foster[[ChromeDriver: chrome on WINDOWS (d016636e354e8eb193f64ad1c67b04ec)] -> xpath: //select[@id='userSelect']]
2020-04-19 18:04:441 INFO  OpenAccountPage :39 - selecting currency : Pound[[ChromeDriver: chrome on WINDOWS (d016636e354e8eb193f64ad1c67b04ec)] -> xpath: //select[@id='currency']]
2020-04-19 18:04:813 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-19 18:04:260 INFO  HomePage :51 - clicking on bank manager login button : [[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-19 18:04:660 INFO  BankManagerLoginPage :39 - clicking on add customer tab : [[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-19 18:04:404 INFO  AddCustomerPage :38 - entering firstname on firstname field : Tiger[[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //input[@placeholder='First Name']]
2020-04-19 18:04:63 INFO  AddCustomerPage :45 - entering lastname on lastname field : Foster[[ChromeDriver: chrome on WINDOWS (140d09112e58c6e5fa5f79ef64bc5dd4)] -> xpath: //input[@placeholder='Last Name']]
